Date,Open,High,Low,Close,Volume
2024-05-20 17:00:00,4.965,4.97,4.96,4.965,1751
2024-05-20 17:01:00,4.96,4.97,4.96,4.96,1420
2024-05-20 17:02:00,4.965,4.97,4.96,4.965,1188
2024-05-20 17:03:00,4.965,4.97,4.96,4.9671,6102
2024-05-20 17:04:00,4.96,4.965,4.96,4.965,2291
2024-05-20 17:05:00,4.96,4.9656,4.96,4.96,889
2024-05-20 17:06:00,4.96,4.965,4.96,4.96,3918
2024-05-20 17:07:00,4.96,4.97,4.96,4.97,4981
2024-05-20 17:08:00,4.9636,4.97,4.96,4.96,1519
2024-05-20 17:09:00,4.965,4.97,4.96,4.96,1120
2024-05-20 17:10:00,4.97,4.97,4.96,4.9665,4336
2024-05-20 17:11:00,4.96,4.97,4.96,4.96,3223
2024-05-20 17:12:00,4.96,4.97,4.96,4.96,12959
2024-05-20 17:13:00,4.96,4.96,4.95,4.95,4185
2024-05-20 17:14:00,4.9548,4.9548,4.95,4.95,728
2024-05-20 17:15:00,4.955,4.955,4.95,4.95,1107
2024-05-20 17:16:00,4.955,4.955,4.95,4.955,2257
2024-05-20 17:17:00,4.9583,4.9583,4.95,4.95,1112
2024-05-20 17:18:00,4.95,4.955,4.95,4.95,1969
2024-05-20 17:19:00,4.955,4.955,4.95,4.955,2951
2024-05-20 17:20:00,4.955,4.9599,4.95,4.955,1300
2024-05-20 17:21:00,4.95,4.9575,4.95,4.955,1775
2024-05-20 17:22:00,4.9588,4.9599,4.95,4.95,3228
2024-05-20 17:23:00,4.955,4.955,4.95,4.95,8791
2024-05-20 17:24:00,4.9533,4.955,4.95,4.955,5243
2024-05-20 17:25:00,4.955,4.955,4.95,4.95,3670
2024-05-20 17:26:00,4.95,4.955,4.95,4.955,2256
2024-05-20 17:27:00,4.95,4.95,4.94,4.94,9094
2024-05-20 17:28:00,4.9499,4.9499,4.94,4.94,8351
2024-05-20 17:29:00,4.945,4.945,4.94,4.94,2735
2024-05-20 17:30:00,4.94,4.95,4.94,4.94,4147
2024-05-20 17:31:00,4.94,4.945,4.94,4.94,1747
2024-05-20 17:32:00,4.94,4.945,4.94,4.94,4139
2024-05-20 17:33:00,4.94,4.945,4.93,4.9399,45222
2024-05-20 17:34:00,4.93,4.935,4.93,4.935,1994
2024-05-20 17:35:00,4.93,4.94,4.93,4.93,4623
2024-05-20 17:36:00,4.93,4.94,4.93,4.933,2275
2024-05-20 17:37:00,4.93,4.94,4.93,4.935,2631
2024-05-20 17:38:00,4.935,4.9366,4.93,4.9366,6384
2024-05-20 17:39:00,4.93,4.94,4.93,4.9358,1774
2024-05-20 17:40:00,4.935,4.9397,4.93,4.9397,1255
2024-05-20 17:41:00,4.935,4.9388,4.93,4.93,2376
2024-05-20 17:42:00,4.93,4.93,4.92,4.92,32482
2024-05-20 17:43:00,4.92,5.0,4.92,4.9201,2478
2024-05-20 17:44:00,4.92,4.96,4.92,4.925,5257
2024-05-20 17:45:00,4.92,4.9299,4.92,4.925,7463
2024-05-20 17:46:00,4.9299,4.9383,4.925,4.935,25910
2024-05-20 17:47:00,4.9335,4.9354,4.9301,4.9301,736
2024-05-20 17:48:00,4.937,4.9397,4.93,4.93,1573
2024-05-20 17:49:00,4.935,4.935,4.935,4.935,434
2024-05-20 17:50:00,4.93,4.9356,4.93,4.935,12177
2024-05-20 17:51:00,4.94,4.94,4.93,4.935,7110
2024-05-20 17:52:00,4.935,4.94,4.9301,4.935,2241
2024-05-20 17:53:00,4.935,4.94,4.93,4.93,14925
2024-05-20 17:54:00,4.93,4.93,4.92,4.925,5941
2024-05-20 17:55:00,4.925,4.925,4.92,4.925,705
2024-05-20 17:56:00,4.92,4.9299,4.92,4.92,971
